session_id,ambient,coolant,speed,torque,voltage_d,voltage_q,current_d,current_q,yoke,tooth,winding,magnet
17,23.785,18.3473,4999.9473,48.6137,-96.6546,86.9846,-138.2109,53.4481,42.4937,58.61,72.167,69.4623
17,24.0371,18.2321,4999.9455,-0.5145,-6.3421,130.8325,-97.5925,0.8166,33.3938,43.1329,49.7122,51.8428
5,23.4131,18.7902,999.9885,103.0133,-43.101,43.3733,-43.4981,132.5865,29.6194,35.6735,43.1901,39.9226
5,22.7565,18.4649,999.9909,0.2002,-0.3557,50.0109,-2.0005,1.097,19.8506,21.4542,21.6421,28.3648
12,23.3962,18.1265,1999.9776,101.8083,-85.35,83.1029,-43.4937,132.5764,33.1902,42.0968,49.7131,47.7306
12,23.293,18.5431,1999.9791,-0.108,-0.5398,97.1112,-2.0008,1.0975,23.2063,25.5786,25.018,32.6461
32,19.5748,19.2979,2249.9877,81.5992,-79.652,97.9202,-33.044,108.2431,26.552,32.918,37.8309,32.4396
32,19.8516,19.5458,3780.1221,97.8194,-128.3934,27.6835,-192.3201,101.9775,52.8241,76.2444,101.7097,77.7492
32,21.7795,19.5777,3999.6956,93.8577,-130.0046,16.9015,-203.5333,96.5418,56.8006,82.9131,110.8037,88.2573
32,21.7779,19.042,2599.8418,20.0668,-28.4648,124.2639,-4.8103,29.9221,26.3852,31.3323,30.6165,45.5298
32,21.775,18.8335,2000.1366,161.3539,-116.301,60.9776,-102.693,193.1911,45.9862,63.9652,84.2131,60.3263
32,23.3535,19.2598,2703.9755,151.6525,-130.8851,4.7888,-230.5427,155.632,64.5241,94.8775,131.1597,83.8959
32,22.0778,18.8048,3104.7673,35.1062,-51.6159,121.1183,-44.8645,46.0408,28.7728,34.3688,35.7244,47.1874
32,21.827,18.815,3403.1726,65.1186,-90.2128,95.6493,-96.518,76.2865,33.6742,42.832,50.1719,49.1163
32,22.0012,18.7219,2570.5639,110.6169,-108.3012,74.8906,-99.9613,130.1548,37.9028,49.4984,61.3112,52.6728
21,22.6721,18.9544,4499.957,79.2741,-128.0545,27.5171,-190.9835,82.5177,54.7969,79.6147,104.7912,90.3949
21,22.0583,19.3886,4499.956,-0.5875,-5.2009,131.3162,-84.7578,1.045,31.3247,38.4362,42.7628,44.7327
2,23.216,18.8923,99.9953,206.177,-9.808,8.7358,-122.939,242.3875,52.5769,72.1217,103.2295,45.9302
2,21.6814,18.9107,99.988,0.2253,1.4865,4.1694,-2.0007,1.0975,18.9314,18.7424,19.4922,23.0278
4,24.0029,18.6346,5999.9322,-0.5965,-8.7164,128.3511,-116.9142,0.2783,38.0711,52.5711,63.0441,61.5788
4,24.9211,19.2304,5999.9331,43.4753,-104.9824,75.5016,-156.0111,46.9787,48.9079,70.6431,90.8274,83.6585
4,23.6911,18.3719,1999.9794,-0.2594,-0.6441,96.9678,-2.0032,1.1263,23.3518,25.7389,25.3016,33.5317
4,25.3441,19.2885,1999.98,101.6715,-85.3175,83.0686,-43.541,132.676,33.2947,41.8694,49.4885,47.1538
4,24.8727,18.3165,2000.0798,175.9481,-121.2274,50.9255,-129.6833,203.957,50.9028,70.6955,96.9989,61.5711
4,25.8535,18.7706,4499.722,48.9216,-89.4163,95.7267,-122.4497,55.1454,38.179,51.5704,62.4684,60.4583
4,25.6086,18.2969,499.9959,-0.0316,0.3543,24.6345,-2.0008,1.0969,19.8378,19.8506,19.882,30.8379
7,23.5287,18.5765,499.9955,103.339,-22.0692,23.64,-43.4964,132.582,27.8147,33.022,39.7393,35.8204
7,23.1435,18.3778,499.9943,0.0573,0.5022,24.5259,-2.0007,1.0971,19.6646,19.8506,19.8578,30.1653
19,26.3951,19.2422,5999.9371,49.4316,-117.0671,56.4845,-168.0229,52.4774,53.4196,79.0005,102.0206,96.724
19,25.4758,19.0962,5999.9351,-0.4072,-8.8976,128.4506,-115.3133,0.3087,39.4504,54.3092,65.0585,69.8562
3,22.1404,18.4173,99.9989,103.6019,-5.4088,7.6621,-43.506,132.606,26.3744,31.337,38.8739,28.9697
3,22.1401,18.708,100.0003,0.1793,1.4554,4.1819,-2.0007,1.0977,18.6778,18.6346,19.3412,22.7943
9,25.4507,18.6787,2499.9718,100.5041,-100.4136,85.4586,-75.7244,123.3674,35.2145,45.2677,54.2206,51.0072
9,26.3264,19.0775,2499.9709,-0.8272,-0.7009,119.5942,-2.0006,1.0973,24.9004,27.8129,26.3895,35.5176
23,23.5879,23.4687,3499.9656,110.6913,-130.5169,5.2075,-218.6014,113.5105,64.08,92.137,124.0496,96.5534
23,23.604,23.2379,3499.9628,-0.5773,-2.923,131.7847,-45.8281,1.1708,31.2937,35.439,35.9812,42.524
27,22.8306,18.6823,750.0139,52.0447,-18.6899,36.5741,-15.4946,70.7949,23.174,25.1112,26.7601,31.1068
27,23.3852,18.9961,5749.946,49.0832,-110.3145,67.6097,-161.2124,52.2702,48.485,70.5259,91.2438,80.7104
27,23.0063,18.689,1249.6621,117.7898,-60.6415,50.8135,-52.0295,150.3074,35.1539,44.7274,54.2621,62.3177
27,23.4077,18.5357,60.0003,36.619,-1.5235,4.7868,-9.1276,50.7686,19.8694,22.539,23.9567,47.6633
27,23.2307,18.7963,3749.9638,45.1535,-73.2243,109.2452,-88.0053,53.8866,32.6379,39.802,45.9853,51.9835
27,25.5522,18.9876,4749.9518,75.1988,-128.4623,25.942,-193.1267,77.7446,55.3223,81.1681,104.7912,90.3877
27,23.363,18.5986,2249.7332,95.8341,-92.0972,93.9175,-40.1673,126.1511,33.7749,42.7865,49.5406,51.8896
27,24.7722,18.6582,1150.4047,67.4542,-35.5769,53.2086,-23.0152,90.0215,25.9115,29.7873,33.0509,40.5351
27,24.6884,18.9874,3299.9949,118.0022,-130.3862,13.0586,-210.8522,121.7128,58.3398,84.9813,114.9407,87.0685
27,26.8856,19.188,5849.6558,57.7285,-128.2301,24.1518,-190.3401,59.2867,59.5391,89.9884,117.3499,109.1474
27,25.1847,18.3642,-0.0005,5.3594,0.1506,1.0886,0.0002,0.0001,19.8489,19.8625,21.4917,54.541
26,23.3779,19.1979,3499.966,110.5658,-130.4039,6.2408,-217.4905,113.2058,60.6746,89.2476,120.3955,95.3787
26,24.0831,18.5695,3499.9637,-0.5625,-2.999,131.7933,-46.5112,1.1726,26.3862,31.582,32.1351,39.0393
6,26.3833,19.3413,4999.9305,48.6449,-97.7207,86.2869,-137.7953,53.5724,43.661,60.4376,75.1692,74.6512
6,25.7876,18.6639,-0.0008,5.5044,1.4788,-1.1067,-2.0027,1.071,19.7136,19.8506,19.8711,44.4475
6,25.8595,18.1347,2499.9709,-127.6034,113.6505,67.3146,-91.7819,-149.3787,39.4577,54.1646,68.0681,60.2476
6,25.6606,19.3109,2500.0568,-1.0513,-1.0001,118.5434,-2.0006,1.0972,27.3737,31.9183,31.3551,48.5805
6,25.8444,18.4963,499.9947,51.6589,-12.7486,25.025,-15.4958,70.7961,23.2585,25.7112,27.8943,48.0733
10,23.0892,18.4484,1064.988,-25.4136,13.6505,48.9998,-4.2503,-34.2631,21.3396,23.1675,23.5029,30.4305
13,23.1835,18.5263,249.9954,103.7017,-11.6192,13.6616,-43.491,132.5693,26.3935,31.7719,39.4042,31.8327
13,22.7513,18.9011,249.9985,0.0837,0.8518,12.018,-2.0009,1.0963,19.0752,19.1283,19.7217,23.3111
31,21.8144,18.8428,4749.9585,75.4055,-128.4474,26.9545,-192.9635,77.7595,54.1297,79.4707,104.7912,86.7891
31,22.3598,18.7567,5650.2482,19.9554,-51.8254,119.436,-119.3485,22.6859,38.5285,52.5732,63.2232,63.4045
31,23.7106,19.0958,5999.844,54.7002,-125.6874,33.7873,-184.6844,56.6124,57.4259,85.6877,112.6348,101.7456
31,22.9706,18.7868,4000.0436,59.5115,-95.1558,89.8567,-118.1908,67.0052,38.0251,50.9188,60.8459,62.9603
31,23.6926,19.0203,5119.8287,64.9842,-123.6675,42.1574,-178.3834,67.9224,52.597,77.2011,100.7126,89.1494
18,23.124,18.3978,100.0,155.0659,-7.6056,8.1382,-79.9158,188.3885,37.1495,45.9862,64.0023,38.5065
18,22.3784,18.5278,99.999,0.4437,1.4495,4.2029,-2.0003,1.0965,18.6396,18.7488,19.4622,23.2415
30,19.8949,18.7632,150.0104,181.3863,-11.7306,10.0094,-99.2148,216.0518,44.3441,58.2821,79.7983,33.9206
30,20.5183,18.5102,674.9937,93.2008,-27.0913,30.9239,-39.0412,120.3024,26.3847,31.5451,37.8812,35.5204
30,20.676,18.4224,49.9965,52.5427,-1.8057,4.6962,-15.4961,70.7971,19.8519,22.0851,24.7959,28.0988
30,21.6751,18.6892,1449.9916,138.7798,-77.6995,55.543,-65.9809,172.9994,38.2349,49.5972,63.1801,49.2805
30,20.7435,18.5799,1959.9827,46.459,-43.917,91.6514,-13.5571,64.1533,25.6778,29.3788,30.9123,37.6374
30,22.1819,18.3765,419.9903,10.7746,-2.8408,21.4118,-2.9797,15.7728,19.8491,19.8506,21.2175,34.882
29,20.822,19.4873,5749.821,19.8816,-52.2957,119.0443,-122.0943,22.5215,37.9357,52.5707,63.8243,58.5469
29,21.8112,19.4654,4149.9458,87.7655,-128.1959,28.5438,-191.4359,91.204,53.0647,77.1926,102.0963,80.7317
29,24.0468,19.3176,5084.4005,69.8453,-129.0346,21.1432,-196.0808,71.7608,57.8521,85.8555,113.5374,98.0049
