 profile ,ambient,coolant,u_d,u_q,i_d,i_q,u_module,i_module,motor_speed,torque,stator_yoke,stator_tooth,stator_winding
 4.00 ,-0.2738,-1.07,0.18,1.6813,-0.756,-0.255,1.69,0.799,2,-0.255,-0.8,-0.4536,-0.3313
 4.00 ,-0.2738,-1.07,-1.243,0.483,-1.357,0.236,1.385,1.377,2,0.287,-0.277,0.3882,0.7125
 4.00 ,-0.2738,-1.07,-1.56,-0.504,-1.832,0.3426,1.6244,1.847,2,0.4358,0.1258,1.0378,1.5199
 4.00 ,-0.2738,-1.07,0.298,0.9577,1.029,-0.2457,1.0581,1.058,-0.14,-0.259,-1.556,-1.696,-1.767
 4.00 ,-0.2738,-1.07,-0.963,0.642,0.386,1.1368,1.2006,1.205,-0.14,1.0205,-1.053,-0.962,-0.8456
 4.00 ,-0.2738,-1.07,-1.498,-0.1402,-0.935,1.89,1.499,2.1098,-0.14,1.956,-0.179,0.388,0.947
 4.00 ,-0.2738,-1.07,-1.026,0.926,-0.8367,0.32286,1.3825,0.8984,1.212,0.3579,-0.7876,-0.514,-0.346
 4.00 ,-0.2738,-1.07,0.314,-0.712,1.0291,-0.2457,0.777,1.058,-0.952,-0.257,-1.7464,-1.98576,-1.969
 6.00 ,0.054,-1.066,-1.1521,0.71457,-1.0765,0.31158,1.363,1.1219,1.483,0.2022,-0.6214,-0.1806,0.01798
 6.00 ,0.2776,0.3024,-1.1521,0.71457,-1.0199,0.31158,1.363,1.068,1.483,0.2022,0.6152,0.866,0.8956
 6.00 ,1.0325,0.9921,-1.1521,0.71457,-0.99426,0.31158,1.363,1.0421,1.483,0.2022,1.3265,1.4313,1.2616
 6.00 ,0.8023,-1.071,-1.1521,0.71457,-1.0693,0.31158,1.363,1.1125,1.483,0.2022,-0.524,-0.08723,0.12695
 6.00 ,0.2967,-1.071,0.33146,-1.3026,1.029,-0.2457,1.344,1.0581,-1.2224,-0.1873,-1.747,-1.971,-1.7508
 6.00 ,0.5107,-1.071,2.0072,0.2822,-0.3626,-1.8277,2.028,1.8628,0.1303,-1.855,-0.733,-0.3802,-0.1352
 10.00 ,-1.0014199,-1.0716614,0.5141543,-0.14651136,0.9942949,-0.6174098,0.53462157,1.170391904,-0.64616776,-0.57429755,-1.6763544,-1.830404,-1.8317637
