day;month;year;hour;weekday;holiday;temp;rain_1h;snow_1h;clouds_all;weather_main;traffic_volume
2;10;2012;9;3;0;288.28;0;0;40;Clouds;5545
2;10;2012;10;3;0;289.36;0;0;75;Clouds;4516
2;10;2012;11;3;0;289.58;0;0;90;Clouds;4767
2;10;2012;12;3;0;290.13;0;0;90;Clouds;5026
2;10;2012;13;3;0;291.14;0;0;75;Clouds;4918
2;10;2012;14;3;0;291.72;0;0;1;Clear;5181
2;10;2012;15;3;0;293.17;0;0;1;Clear;5584
2;10;2012;16;3;0;293.86;0;0;1;Clear;6015
2;10;2012;17;3;0;294.14;0;0;20;Clouds;5791
2;10;2012;18;3;0;293.1;0;0;20;Clouds;4770
2;10;2012;19;3;0;290.97;0;0;20;Clouds;3539
2;10;2012;20;3;0;289.38;0;0;1;Clear;2784
2;10;2012;21;3;0;288.61;0;0;1;Clear;2361
2;10;2012;22;3;0;287.16;0;0;1;Clear;1529
2;10;2012;23;3;0;285.45;0;0;1;Clear;963
3;10;2012;0;4;0;284.63;0;0;1;Clear;506
3;10;2012;1;4;0;283.47;0;0;1;Clear;321
3;10;2012;2;4;0;281.18;0;0;1;Clear;273
3;10;2012;3;4;0;281.09;0;0;1;Clear;367
3;10;2012;4;4;0;279.53;0;0;1;Clear;814
3;10;2012;5;4;0;278.62;0;0;1;Clear;2718
3;10;2012;6;4;0;278.23;0;0;1;Clear;5673
3;10;2012;8;4;0;278.12;0;0;1;Clear;6511
3;10;2012;9;4;0;282.48;0;0;1;Clear;5471
3;10;2012;12;4;0;291.97;0;0;1;Clear;5097
3;10;2012;13;4;0;293.23;0;0;1;Clear;4887
3;10;2012;14;4;0;294.31;0;0;1;Clear;5337
3;10;2012;15;4;0;295.17;0;0;1;Clear;5692
3;10;2012;16;4;0;295.13;0;0;1;Clear;6137
3;10;2012;18;4;0;293.66;0;0;20;Clouds;4623
3;10;2012;19;4;0;290.65;0;0;20;Clouds;3591
3;10;2012;20;4;0;288.19;0;0;20;Clouds;2898
3;10;2012;21;4;0;287.1;0;0;1;Clear;2637
3;10;2012;22;4;0;286.25;0;0;1;Clear;1777
3;10;2012;23;4;0;285.26;0;0;1;Clear;1015
4;10;2012;0;5;0;284.55;0;0;1;Clear;598
4;10;2012;1;5;0;283.47;0;0;1;Clear;369
4;10;2012;2;5;0;283.17;0;0;1;Clear;312
4;10;2012;3;5;0;282.04;0;0;1;Clear;367
4;10;2012;4;5;0;281.69;0;0;1;Clear;835
4;10;2012;5;5;0;281.32;0;0;1;Clear;2726
4;10;2012;6;5;0;280.74;0;0;1;Clear;5689
4;10;2012;7;5;0;280.57;0;0;1;Clear;6990
4;10;2012;8;5;0;281.86;0;0;1;Clear;5985
4;10;2012;9;5;0;284.98;0;0;1;Clear;5309
4;10;2012;10;5;0;289.18;0;0;1;Clear;4603
4;10;2012;11;5;0;291.55;0;0;1;Clear;4884
4;10;2012;12;5;0;294.97;0;0;1;Clear;5104
4;10;2012;13;5;0;296.38;0;0;1;Clear;5178
4;10;2012;14;5;0;297.32;0;0;1;Clear;5501
4;10;2012;15;5;0;298.17;0;0;1;Clear;5713
4;10;2012;16;5;0;298.06;0;0;20;Clouds;6292
4;10;2012;17;5;0;297.67;0;0;20;Clouds;6057
4;10;2012;18;5;0;296.36;0;0;40;Clouds;4907
4;10;2012;19;5;0;293.85;0;0;40;Clouds;3503
4;10;2012;20;5;0;292.43;0;0;40;Clouds;3037
4;10;2012;21;5;0;291.77;0;0;75;Clouds;2822
4;10;2012;22;5;0;291.36;0;0;75;Clouds;1992
4;10;2012;23;5;0;291.12;0;0;75;Clouds;1166
5;10;2012;0;6;0;290.63;0;0;75;Clouds;627
5;10;2012;1;6;0;290.46;0;0;40;Clouds;388
5;10;2012;3;6;0;289.26;0;0;0;Clear;368
5;10;2012;5;6;0;283.21;0;0;75;Clouds;2489
5;10;2012;6;6;0;282.24;0;0;90;Clouds;5537
5;10;2012;7;6;0;281.69;0;0;90;Clouds;6628
5;10;2012;8;6;0;280.57;0;0;90;Clouds;5534
5;10;2012;9;6;0;280.02;0;0;75;Clouds;5403
5;10;2012;10;6;0;280.11;0;0;75;Clouds;4770
5;10;2012;11;6;0;280;0;0;90;Clouds;5217
5;10;2012;12;6;0;280.53;0;0;90;Clouds;5870
5;10;2012;13;6;0;281.43;0;0;75;Clouds;5967
5;10;2012;14;6;0;281.78;0;0;90;Clouds;6108
5;10;2012;15;6;0;281.91;0;0;90;Clouds;6128
5;10;2012;16;6;0;281.73;0;0;90;Clouds;6069
5;10;2012;17;6;0;281.42;0;0;90;Clouds;6169
5;10;2012;18;6;0;280.87;0;0;90;Clouds;5384
5;10;2012;19;6;0;280.15;0;0;90;Clouds;4063
5;10;2012;20;6;0;279.78;0;0;90;Clouds;3364
5;10;2012;21;6;0;279.65;0;0;75;Clouds;2971
5;10;2012;22;6;0;279.22;0;0;40;Clouds;2450
5;10;2012;23;6;0;279.06;0;0;40;Clouds;1832
6;10;2012;0;7;0;278.81;0;0;90;Clouds;1231
6;10;2012;1;7;0;278.55;0;0;90;Clouds;718
6;10;2012;2;7;0;278.59;0;0;90;Clouds;545
6;10;2012;4;7;0;276.99;0;0;75;Clouds;411
6;10;2012;5;7;0;276.35;0;0;20;Clouds;688
6;10;2012;6;7;0;275.4;0;0;1;Clear;1352
6;10;2012;7;7;0;275.17;0;0;1;Clear;2072
6;10;2012;8;7;0;274.99;0;0;1;Clear;3342
6;10;2012;9;7;0;275.09;0;0;40;Clouds;4258
6;10;2012;10;7;0;276.88;0;0;20;Clouds;4861
6;10;2012;11;7;0;278.04;0;0;20;Clouds;5191
6;10;2012;12;7;0;279.08;0;0;40;Clouds;5669
6;10;2012;13;7;0;280.12;0;0;75;Clouds;5074
6;10;2012;14;7;0;280.25;0;0;75;Clouds;5025
6;10;2012;15;7;0;280;0;0;75;Clouds;5153
6;10;2012;16;7;0;279.06;0;0;90;Clouds;5024
6;10;2012;17;7;0;278.91;0;0;90;Clouds;4779
6;10;2012;18;7;0;278.39;0;0;90;Clouds;4362
6;10;2012;19;7;0;278.16;0;0;90;Clouds;3860
6;10;2012;20;7;0;278.16;0;0;90;Clouds;3160
6;10;2012;21;7;0;277.93;0;0;90;Clouds;2992
6;10;2012;22;7;0;276.9;0;0;90;Clouds;3202
6;10;2012;23;7;0;276.34;0;0;75;Clouds;1941
7;10;2012;0;1;0;276.11;0;0;75;Clouds;1233
7;10;2012;3;1;0;275.73;0;0;90;Clouds;323
7;10;2012;4;1;0;275.65;0;0;90;Clouds;312
7;10;2012;5;1;0;275.51;0;0;75;Clouds;627
7;10;2012;6;1;0;275.05;0;0;90;Clouds;1508
7;10;2012;7;1;0;274.77;0;0;90;Clouds;1539
7;10;2012;8;1;0;274.77;0;0;75;Clouds;2232
