freq_1;freq_2;freq_3;freq_4;freq_5;Class
-9.4;-21.44;-34.39;-48.61;-63.62;1-Octanol
-13.18;-26.46;-41.48;-56.74;-73.45;1-Octanol
-18.61;-32.84;-49.32;-65.87;-84.45;1-Octanol
-21.88;-38.18;-56.27;-74.09;-92.61;1-Octanol
-24.84;-42.61;-60.47;-80.67;-101.14;1-Octanol
-48.45;-94.77;-144.2;-203.85;-263.8;1-Propanol
-52.71;-98.57;-149.15;-206.98;-269.29;1-Propanol
-57.09;-100.87;-153.09;-210.05;-274.14;1-Propanol
-60.23;-106.92;-157.94;-210.78;-274.14;1-Propanol
-62.88;-108.56;-157.61;-214.45;-277.29;1-Propanol
-62.12;-111.79;-171.12;-223.76;-288.01;2-Butanol
-74.65;-116.27;-173.44;-228.82;-292.81;2-Butanol
-80.61;-119.26;-175.38;-231.08;-296.68;2-Butanol
-81.01;-126.52;-183.94;-230.44;-294.04;2-Butanol
-86.34;-129.71;-182.08;-229.94;-294.2;2-Butanol
-60.65;-105.31;-148.3;-180.36;-219.73;2-Propanol
-62.54;-104.33;-147.54;-182.08;-217.25;2-Propanol
-66.37;-104.69;-150.89;-178.98;-211.37;2-Propanol
-69.99;-109.66;-149.9;-186.32;-213.69;2-Propanol
-69.99;-110.79;-153.44;-183.04;-210.51;2-Propanol
-54.35;-88.23;-128.65;-173.71;-231.30;1-Isobutanol
-56.14;-90.74;-132.16;-178.79;-239.06;1-Isobutanol
-57.71;-92.83;-134.83;-182.33;-243.12;1-Isobutanol
-58.36;-94.31;-136.44;-184.70;-246.15;1-Isobutanol
-59.00;-94.97;-137.28;-186.98;-248.98;1-Isobutanol
