Month,Day,Hour,Distance to solar noon,Temperature,Wind direction,Wind speed,Sky cover,Visibility,Humidity,Average wind speed,Average pressure,Power generated
9,1,7,0.397172237,69,28,7.5,0,10.0,70,0.0,29.89,5418
9,1,10,0.165809769,69,28,7.5,0,10.0,33,0.0,29.91,25477
9,1,13,0.065552699,69,28,7.5,0,10.0,21,3.0,29.89,30069
9,1,16,0.296915167,69,28,7.5,0,10.0,20,23.0,29.85,16280
9,1,19,0.528277635,69,28,7.5,0,10.0,36,15.0,29.83,515
9,2,7,0.398195876,72,29,6.8,0,10.0,54,0.0,29.9,4939
9,2,10,0.166237113,72,29,6.8,0,10.0,64,0.0,29.92,24335
9,2,13,0.065721649,72,29,6.8,0,10.0,23,9.0,29.88,29025
9,2,16,0.297680412,72,29,6.8,0,10.0,30,18.0,29.84,15408
9,2,19,0.529639175,72,29,6.8,0,10.0,65,11.0,29.84,491
9,3,7,0.399741268,73,29,7.9,0,10.0,63,0.0,29.88,4854
9,3,10,0.166882277,73,29,7.9,0,10.0,69,3.0,29.88,23855
9,3,13,0.065976714,73,29,7.9,0,10.0,33,10.0,29.84,28339
9,3,16,0.298835705,73,29,7.9,0,10.0,27,20.0,29.81,15308
9,3,19,0.531694696,73,29,7.9,0,10.0,53,14.0,29.81,455
9,4,7,0.40077821,76,30,6.9,0,10.0,70,0.0,29.84,4750
9,4,10,0.167315175,76,30,6.9,0,10.0,64,3.0,29.85,23555
9,4,13,0.06614786,76,30,6.9,0,10.0,62,6.0,29.79,27741
9,4,16,0.299610895,76,30,6.9,0,10.0,30,15.0,29.75,14917
9,4,19,0.53307393,76,30,6.9,0,10.0,27,17.0,29.74,429
9,5,7,0.4010416670000001,77,29,8.5,0,10.0,61,0.0,29.8,4804
9,5,10,0.166666667,77,29,8.5,0,10.0,64,3.0,29.82,23551
9,5,13,0.067708333,77,29,8.5,0,10.0,49,5.0,29.78,27963
9,5,16,0.302083333,77,29,8.5,0,10.0,19,22.0,29.75,14980
9,5,19,0.536458333,77,29,8.5,0,10.0,51,15.0,29.76,423
9,6,7,0.4015645370000001,75,30,8.6,1,10.0,52,3.0,29.81,4562
9,6,10,0.166883963,75,30,8.6,1,10.0,66,3.0,29.82,22761
9,6,13,0.06779661,75,30,8.6,0,10.0,29,16.0,29.79,28193
9,6,16,0.302477184,75,30,8.6,0,10.0,39,18.0,29.75,14835
9,6,19,0.537157757,75,30,8.6,0,10.0,57,14.0,29.74,375
9,7,7,0.401832461,62,29,14.9,1,10.0,84,8.0,29.76,2963
9,7,10,0.166230366,62,29,14.9,1,10.0,68,14.0,29.77,24553
9,7,13,0.069371728,62,29,14.9,1,10.0,61,22.0,29.73,29986
9,7,16,0.304973822,62,29,14.9,1,10.0,70,25.0,29.71,15403
9,7,19,0.540575916,62,29,14.9,1,10.0,87,22.0,29.73,379
9,8,7,0.402887139,64,31,5.8,4,9.0,87,0.0,29.77,249
9,8,10,0.166666667,64,31,5.8,1,9.0,73,5.0,29.78,9910
9,8,13,0.069553806,64,31,5.8,1,10.0,59,10.0,29.75,28515
9,8,16,0.305774278,64,31,5.8,1,10.0,61,14.0,29.7,17490
9,8,19,0.541994751,64,31,5.8,1,10.0,73,6.0,29.72,773
9,9,7,0.404479578,63,21,10.5,4,10.0,81,8.0,29.78,65
9,9,10,0.167325428,63,21,10.5,4,10.0,73,5.0,29.8,5219
9,9,13,0.069828722,63,21,10.5,1,10.0,63,15.0,29.76,10789
9,9,16,0.306982872,63,21,10.5,1,10.0,68,20.0,29.74,5208
9,9,19,0.544137022,63,21,10.5,1,10.0,78,7.0,29.74,60
9,10,7,0.404761905,64,28,9.7,4,10.0,78,7.0,29.8,1346
9,10,10,0.166666667,64,28,9.7,3,10.0,68,3.0,29.84,18380
9,10,13,0.071428571,64,28,9.7,1,10.0,59,16.0,29.81,28891
9,10,16,0.30952381,64,28,9.7,1,10.0,63,18.0,29.8,14687
9,10,19,0.5476190479999999,64,28,9.7,1,10.0,81,15.0,29.82,345
9,11,7,0.405835544,61,29,11.4,4,8.0,84,3.0,29.87,292
9,11,10,0.167108753,61,29,11.4,2,10.0,73,3.0,29.87,10767
9,11,13,0.071618037,61,29,11.4,1,10.0,68,21.0,29.84,27641
9,11,16,0.310344828,61,29,11.4,1,10.0,75,23.0,29.81,13835
9,11,19,0.5490716179999999,61,29,11.4,1,10.0,87,18.0,29.83,145
9,12,7,0.407456724,60,28,11.7,4,10.0,86,5.0,29.9,229
9,12,10,0.167776298,60,28,11.7,4,9.0,81,7.0,29.93,4349
9,12,13,0.071904128,60,28,11.7,1,10.0,68,16.0,29.88,19126
9,12,16,0.311584554,60,28,11.7,1,10.0,73,21.0,29.85,14692
9,12,19,0.55126498,60,28,11.7,3,10.0,80,13.0,29.88,436
9,13,7,0.406666667,61,29,9.0,4,10.0,83,5.0,29.9,408
9,13,10,0.166666667,61,29,9.0,4,10.0,72,3.0,29.93,11376
9,13,13,0.073333333,61,29,9.0,2,10.0,61,16.0,29.89,28611
9,13,16,0.313333333,61,29,9.0,2,10.0,65,17.0,29.86,14587
9,13,19,0.553333333,61,29,9.0,1,10.0,81,14.0,29.89,239
9,14,7,0.408299866,62,29,10.1,4,10.0,84,5.0,29.97,250
9,14,10,0.167336011,62,29,10.1,3,9.0,73,7.0,30.0,15149
9,14,13,0.073627845,62,29,10.1,1,10.0,63,15.0,29.96,28581
9,14,16,0.3145917,62,29,10.1,1,10.0,68,21.0,29.94,13787
9,14,19,0.5555555560000001,62,29,10.1,1,10.0,78,18.0,29.97,218
9,15,7,0.409395973,60,28,12.6,4,7.0,90,7.0,30.01,413
9,15,10,0.167785235,60,28,12.6,3,7.0,78,5.0,30.01,17412
9,15,13,0.073825503,60,28,12.6,1,10.0,63,16.0,29.95,28239
9,15,16,0.315436242,60,28,12.6,1,10.0,70,22.0,29.92,13397
9,15,19,0.55704698,60,28,12.6,1,10.0,83,18.0,29.94,193
9,16,7,0.409703504,59,28,12.7,4,9.0,83,9.0,29.97,685
9,16,10,0.167115903,59,28,12.7,3,10.0,72,7.0,29.98,16170
9,16,13,0.075471698,59,28,12.7,1,10.0,63,21.0,29.94,28148
9,16,16,0.318059299,59,28,12.7,2,10.0,67,20.0,29.92,13455
9,16,19,0.5606469000000001,59,28,12.7,1,10.0,80,14.0,29.95,198
